"Publication","Taxa","Theme","Topic","Water_Type","Depth_groups","Length_Groups","Tracking_Days","Recording_Hours","Combination"
"Acuna_Marrero_2017","Chondrichthyes","Behavioural Ecology","Behavioural states and adaptations","Saltwater","3m to 40m","Medium","Long Term","Long Term","BRUV + Acoustic + Satellite"
"Acuna_Marrero_2017","Chondrichthyes","Behavioural Ecology","Habitat and space use","Saltwater","3m to 40m","Medium","Long Term","Long Term","BRUV + Acoustic + Satellite"
"Acuna_Marrero_2017","Chondrichthyes","Conservation Methods","Marine protected areas and reserves","Saltwater","3m to 40m","Medium","Long Term","Long Term","BRUV + Acoustic + Satellite"
"Acuna_Marrero_2017","Chondrichthyes","Other Drivers of Movement and Habitat Use","Seasonal Differences","Saltwater","3m to 40m","Medium","Long Term","Long Term","BRUV + Acoustic + Satellite"
"Acuna_Marrero_2017","Chondrichthyes","Other Drivers of Movement and Habitat Use","Ontogenic","Saltwater","3m to 40m","Medium","Long Term","Long Term","BRUV + Acoustic + Satellite"
"Acuna_Marrero_2017","Chondrichthyes","Other Drivers of Movement and Habitat Use","Demographics","Saltwater","3m to 40m","Medium","Long Term","Long Term","BRUV + Acoustic + Satellite"
"Akiyama_2019","Cetacea","Behavioural Ecology","Co_existence","Saltwater","3m to 40m",NA,"Short Term","Medium Term","Crittercam + Archival"
"Akiyama_2019","Cetacea","Behavioural Ecology","Predator prey interactions","Saltwater","3m to 40m",NA,"Short Term","Medium Term","Crittercam + Archival"
"Akiyama_2019","Cetacea","Behavioural Ecology","Energetics","Saltwater","3m to 40m",NA,"Short Term","Medium Term","Crittercam + Archival"
"Anderson_2022","Chondrichthyes","Behavioural Ecology","Energetics","Saltwater",NA,"Large","Medium Term","Medium Term","Controlled + Acoustic"
"Anderson_2022","Chondrichthyes","Reproductive Ecology","Juvenile migration, presence, and movement","Saltwater",NA,"Large","Medium Term","Medium Term","Controlled + Acoustic"
"Anderson_2022","Chondrichthyes","Other Drivers of Movement and Habitat Use","Ontogenic","Saltwater",NA,"Large","Medium Term","Medium Term","Controlled + Acoustic"
"Andrews_2020","Chondrostei","Behavioural Ecology","Habitat and space use","Freshwater","3m to 40m","Medium",NA,NA,"Controlled + Acoustic"
"Andrews_2020","Chondrostei","Methodological","Feasibility","Freshwater","3m to 40m","Medium",NA,NA,"Controlled + Acoustic"
"Andrews_2020","Chondrostei","Behavioural Ecology","Population structuring","Freshwater","3m to 40m","Medium",NA,NA,"Controlled + Acoustic"
"Andrzejaczek_2019","Chondrichthyes","Behavioural Ecology","Predator prey interactions","Saltwater","3m to 40m","Large","Short Term","Medium Term","Crittercam + Archival"
"Andrzejaczek_2019","Chondrichthyes","Behavioural Ecology","Habitat and space use","Saltwater","3m to 40m","Large","Short Term","Medium Term","Crittercam + Archival"
"Andrzejaczek_2019","Chondrichthyes","Methodological","Attributing behaviours to movement","Saltwater","3m to 40m","Large","Short Term","Medium Term","Crittercam + Archival"
"Arnekleiv_2007","Teleostei","Reproductive Ecology","Adult migration","Freshwater",NA,"Small","Medium Term","Short term","Stationary + Radio"
"Arnekleiv_2007","Teleostei","Landuse Management","Hydroelectric power","Freshwater",NA,"Small","Medium Term","Short term","Stationary + Radio"
"Arnekleiv_2007","Teleostei","Other Drivers of Movement and Habitat Use","Ontogenic","Freshwater",NA,"Small","Medium Term","Short term","Stationary + Radio"
"Asada_2022","Reptilia","Behavioural Ecology","Behavioural states and adaptations","Saltwater",NA,"Medium","Medium Term",NA,"Crittercam + Satellite + Archival"
"Asada_2022","Reptilia","Behavioural Ecology","Habitat and space use","Saltwater",NA,"Medium","Medium Term",NA,"Crittercam + Satellite + Archival"
